trial_id,country_id,phase,start_date,end_date,participants,efficacy_rate,severe_events
5000,1,IV,2022-02-15,2022-07-20,12043,82.72,14
5001,1,III,2022-02-28,2022-06-08,15305,82.88,7
5002,2,II,2022-02-09,2022-08-25,4811,55.37,2
5003,2,II,2022-05-21,2023-01-15,1443,59.89,13
5004,2,IV,2022-05-15,2022-08-31,7686,88.32,14
5005,3,I,2022-03-10,2022-07-08,4388,51.3,13
5006,3,IV,2022-03-21,2022-06-24,12887,79.78,10
5007,4,I,2022-06-27,2023-03-19,1626,53.67,8
5008,4,IV,2022-03-02,2022-09-18,17612,87.77,1
5009,4,II,2022-06-24,2022-12-30,1863,65.81,5
5010,5,IV,2022-05-05,2022-08-31,11035,75.52,4
5011,6,III,2022-04-07,2022-08-23,16090,82.74,15
5012,7,IV,2022-03-17,2022-07-08,11511,82.22,6
5013,8,III,2022-04-15,2022-09-20,20103,88.62,1
5014,8,III,2022-03-16,2022-09-08,19393,84.48,1
5015,9,IV,2022-02-22,2022-11-11,18072,86.01,14
5016,9,III,2022-02-02,2022-08-28,15796,84.31,11
5017,10,I,2022-03-12,2022-10-09,2726,70.26,8
5018,10,IV,2022-06-18,2022-12-24,22601,82.78,15
5019,11,II,2022-02-09,2022-05-16,3927,59.66,14
5020,12,III,2022-03-10,2022-09-21,22654,93.26,9
5021,12,II,2022-06-13,2022-09-26,3525,57.81,10
5022,13,III,2022-03-05,2022-08-13,14804,88.91,10
5023,13,III,2022-05-05,2022-11-14,23635,87.66,3
5024,14,III,2022-02-09,2022-09-24,10172,93.09,4
5025,14,IV,2022-06-07,2022-11-03,15753,76.19,14
5026,15,II,2022-02-10,2022-08-01,3854,58.31,14
5027,16,III,2022-01-13,2022-09-15,10633,82.32,9
5028,16,II,2022-04-19,2022-12-21,3431,71.6,10
5029,17,III,2022-04-30,2022-08-29,23356,88.57,14
5030,17,III,2022-06-22,2023-02-02,6069,85.96,5
5031,17,IV,2022-04-24,2022-10-17,12741,80.9,1
5032,18,IV,2022-06-04,2023-01-28,13298,89.81,13
5033,18,III,2022-06-19,2023-03-06,12135,89.76,8
5034,19,III,2022-04-20,2022-08-11,24946,76.72,8
5035,20,IV,2022-01-29,2022-05-14,5723,84.36,11
5036,20,III,2022-01-05,2022-08-02,22543,76.27,6
5037,20,I,2022-04-01,2022-08-15,1731,63.81,5
