contract_id,country_id,contract_date,total_doses,price_per_dose,delivery_start,delivery_end
1000,1,2023-04-28,4998207,13.5,2023-05-13,2023-07-27
1001,1,2023-04-07,1161023,12.86,2023-04-22,2023-08-30
1002,2,2023-06-10,12634457,16.65,2023-06-25,2023-11-05
1003,2,2023-02-19,2833883,17.52,2023-03-06,2023-05-10
1004,2,2023-06-19,8146997,15.77,2023-07-04,2023-12-09
1005,2,2023-03-16,3177374,15.77,2023-03-31,2023-09-16
1006,3,2023-01-26,6877459,10.58,2023-02-10,2023-05-16
1007,3,2023-04-27,6620868,9.77,2023-05-12,2023-07-31
1008,3,2023-04-05,6460453,8.53,2023-04-20,2023-07-15
1009,4,2023-06-29,1697935,9.54,2023-07-14,2023-11-28
1010,4,2023-06-12,3371230,8.54,2023-06-27,2023-11-02
1011,4,2023-03-04,3241438,8.53,2023-03-19,2023-07-16
1012,4,2023-04-08,5028972,9.24,2023-04-23,2023-10-18
1013,5,2023-06-25,5940561,14.09,2023-07-10,2023-12-24
1014,5,2023-01-15,4342788,14.28,2023-01-30,2023-07-14
1015,5,2023-01-09,5792423,15.44,2023-01-24,2023-05-15
1016,6,2023-01-17,2269852,11.99,2023-02-01,2023-07-27
1017,6,2023-05-26,6522301,13.31,2023-06-10,2023-09-18
1018,6,2023-02-24,5998218,12.09,2023-03-11,2023-07-12
1019,6,2023-04-12,5892632,11.59,2023-04-27,2023-08-23
1020,7,2023-03-09,1085652,10.47,2023-03-24,2023-06-23
1021,7,2023-05-24,2760634,8.77,2023-06-08,2023-09-09
1022,7,2023-05-30,2296981,9.07,2023-06-14,2023-12-05
1023,8,2023-04-03,2339795,7.58,2023-04-18,2023-07-04
1024,8,2023-05-11,4639910,8.46,2023-05-26,2023-08-05
1025,8,2023-01-13,1419803,9.11,2023-01-28,2023-04-17
1026,8,2023-06-10,1842026,7.85,2023-06-25,2023-12-03
1027,8,2023-06-24,4041334,9.38,2023-07-09,2023-11-22
1028,9,2023-04-09,2100627,8.4,2023-04-24,2023-09-07
1029,9,2023-04-30,2719266,8.71,2023-05-15,2023-08-15
1030,10,2023-06-24,8187437,15.4,2023-07-09,2023-12-03
1031,10,2023-05-18,18406335,17.85,2023-06-02,2023-11-07
1032,11,2023-01-29,5424115,12.99,2023-02-13,2023-06-08
1033,11,2023-02-10,8112220,11.94,2023-02-25,2023-04-26
1034,11,2023-03-09,8898441,13.82,2023-03-24,2023-08-28
1035,11,2023-02-15,9017485,11.78,2023-03-02,2023-08-25
1036,12,2023-06-10,5507072,13.21,2023-06-25,2023-12-09
1037,12,2023-06-13,9017169,11.04,2023-06-28,2023-11-12
1038,13,2023-02-09,6773233,14.67,2023-02-24,2023-07-31
1039,13,2023-02-11,509594,16.2,2023-02-26,2023-07-12
1040,13,2023-03-24,8697443,16.74,2023-04-08,2023-06-09
1041,14,2023-04-03,15242506,16.17,2023-04-18,2023-10-01
1042,14,2023-03-20,4517343,15.88,2023-04-04,2023-06-10
1043,15,2023-05-26,1821324,12.7,2023-06-10,2023-08-19
1044,15,2023-05-05,1661193,11.52,2023-05-20,2023-10-24
1045,15,2023-05-17,2609911,12.28,2023-06-01,2023-08-16
1046,16,2023-05-21,1192592,8.54,2023-06-05,2023-09-06
1047,16,2023-05-16,3044239,10.06,2023-05-31,2023-09-22
1048,16,2023-02-24,2761971,9.34,2023-03-11,2023-08-14
1049,16,2023-06-26,1343688,7.24,2023-07-11,2023-12-09
1050,16,2023-03-21,2173494,9.32,2023-04-05,2023-08-28
1051,17,2023-04-23,17866963,15.61,2023-05-08,2023-09-02
1052,17,2023-01-31,8818332,15.32,2023-02-15,2023-05-14
1053,17,2023-01-17,11844269,16.61,2023-02-01,2023-04-04
1054,17,2023-05-31,19086522,17.03,2023-06-15,2023-09-12
1055,18,2023-01-02,1095533,9.93,2023-01-17,2023-06-16
1056,18,2023-06-11,993868,8.16,2023-06-26,2023-09-23
1057,18,2023-01-18,763510,8.69,2023-02-02,2023-07-22
1058,19,2023-01-19,4813054,9.33,2023-02-03,2023-05-04
1059,19,2023-03-13,4571951,9.98,2023-03-28,2023-06-23
1060,19,2023-05-19,1609912,8.52,2023-06-03,2023-11-02
1061,19,2023-05-27,4465051,8.81,2023-06-11,2023-09-10
1062,20,2023-04-15,6889096,11.89,2023-04-30,2023-07-11
1063,20,2023-01-25,14963677,11.8,2023-02-09,2023-05-25
1064,20,2023-04-19,14294303,13.81,2023-05-04,2023-08-31
1065,20,2023-01-14,22182194,14.36,2023-01-29,2023-04-11
1066,20,2023-01-16,14009728,12.93,2023-01-31,2023-07-03
