shipment_id,contract_id,shipment_date,doses_shipped,batch_id
2000,1000,2023-05-13,1399794,BATCH-1000-1
2001,1000,2023-06-07,1012002,BATCH-1000-2
2002,1000,2023-07-02,1133670,BATCH-1000-3
2003,1000,2023-07-27,1452741,BATCH-1000-4
2004,1001,2023-04-22,374914,BATCH-1001-1
2005,1001,2023-06-26,358236,BATCH-1001-2
2006,1001,2023-08-30,385052,BATCH-1001-3
2007,1002,2023-06-25,6173526,BATCH-1002-1
2008,1002,2023-11-05,6460931,BATCH-1002-2
2009,1003,2023-03-06,1162225,BATCH-1003-1
2010,1003,2023-05-10,1671658,BATCH-1003-2
2011,1004,2023-07-04,4837680,BATCH-1004-1
2012,1004,2023-12-09,3309317,BATCH-1004-2
2013,1005,2023-03-31,917757,BATCH-1005-1
2014,1005,2023-06-23,1123319,BATCH-1005-2
2015,1005,2023-09-16,1006190,BATCH-1005-3
2016,1006,2023-02-10,1596914,BATCH-1006-1
2017,1006,2023-03-05,1143046,BATCH-1006-2
2018,1006,2023-03-29,1104522,BATCH-1006-3
2019,1006,2023-04-22,1450018,BATCH-1006-4
2020,1006,2023-05-16,1582959,BATCH-1006-5
2021,1007,2023-05-12,1210426,BATCH-1007-1
2022,1007,2023-06-01,1458975,BATCH-1007-2
2023,1007,2023-06-21,1438600,BATCH-1007-3
2024,1007,2023-07-11,1398843,BATCH-1007-4
2025,1007,2023-07-31,1114024,BATCH-1007-5
2026,1008,2023-04-20,1113677,BATCH-1008-1
2027,1008,2023-05-11,1227998,BATCH-1008-2
2028,1008,2023-06-02,1630327,BATCH-1008-3
2029,1008,2023-06-23,1283632,BATCH-1008-4
2030,1008,2023-07-15,1204819,BATCH-1008-5
2031,1009,2023-07-14,349293,BATCH-1009-1
2032,1009,2023-08-28,464684,BATCH-1009-2
2033,1009,2023-10-13,442482,BATCH-1009-3
2034,1009,2023-11-28,441476,BATCH-1009-4
2035,1010,2023-06-27,924561,BATCH-1010-1
2036,1010,2023-08-30,1227165,BATCH-1010-2
2037,1010,2023-11-02,1219504,BATCH-1010-3
2038,1011,2023-03-19,1682329,BATCH-1011-1
2039,1011,2023-07-16,1559109,BATCH-1011-2
2040,1012,2023-04-23,1611802,BATCH-1012-1
2041,1012,2023-07-21,2010386,BATCH-1012-2
2042,1012,2023-10-18,1406784,BATCH-1012-3
2043,1013,2023-07-10,3112119,BATCH-1013-1
2044,1013,2023-12-24,2737054,BATCH-1013-2
2045,1014,2023-01-30,1274480,BATCH-1014-1
2046,1014,2023-03-26,901779,BATCH-1014-2
2047,1014,2023-05-20,1176941,BATCH-1014-3
2048,1014,2023-07-14,886150,BATCH-1014-4
2049,1015,2023-01-24,987435,BATCH-1015-1
2050,1015,2023-02-20,1271159,BATCH-1015-2
2051,1015,2023-03-20,1157788,BATCH-1015-3
2052,1015,2023-04-17,1391893,BATCH-1015-4
2053,1015,2023-05-15,984148,BATCH-1015-5
2054,1016,2023-02-01,1115988,BATCH-1016-1
2055,1016,2023-07-27,1153864,BATCH-1016-2
2056,1017,2023-06-10,2704486,BATCH-1017-1
2057,1017,2023-09-18,3379765,BATCH-1017-2
2058,1018,2023-03-11,1279093,BATCH-1018-1
2059,1018,2023-04-21,1478035,BATCH-1018-2
2060,1018,2023-06-01,1341027,BATCH-1018-3
2061,1018,2023-07-12,1705712,BATCH-1018-4
2062,1019,2023-04-27,1271480,BATCH-1019-1
2063,1019,2023-06-05,1746022,BATCH-1019-2
2064,1019,2023-07-14,1554605,BATCH-1019-3
2065,1019,2023-08-23,1320525,BATCH-1019-4
2066,1020,2023-03-24,579274,BATCH-1020-1
2067,1020,2023-06-23,506378,BATCH-1020-2
2068,1021,2023-06-08,1622662,BATCH-1021-1
2069,1021,2023-09-09,971505,BATCH-1021-2
2070,1022,2023-06-14,1327523,BATCH-1022-1
2071,1022,2023-12-05,969458,BATCH-1022-2
2072,1023,2023-04-18,708910,BATCH-1023-1
2073,1023,2023-05-26,849635,BATCH-1023-2
2074,1023,2023-07-04,781250,BATCH-1023-3
2075,1024,2023-05-26,1662632,BATCH-1024-1
2076,1024,2023-06-30,1698782,BATCH-1024-2
2077,1024,2023-08-05,1278496,BATCH-1024-3
2078,1025,2023-01-28,412500,BATCH-1025-1
2079,1025,2023-02-23,382251,BATCH-1025-2
2080,1025,2023-03-21,261559,BATCH-1025-3
2081,1025,2023-04-17,352381,BATCH-1025-4
2082,1026,2023-06-25,376526,BATCH-1026-1
2083,1026,2023-08-17,455976,BATCH-1026-2
2084,1026,2023-10-10,430222,BATCH-1026-3
2085,1026,2023-12-03,579302,BATCH-1026-4
2086,1027,2023-07-09,1477097,BATCH-1027-1
2087,1027,2023-09-15,1308622,BATCH-1027-2
2088,1027,2023-11-22,1219296,BATCH-1027-3
2089,1028,2023-04-24,887251,BATCH-1028-1
2090,1028,2023-09-07,1213376,BATCH-1028-2
2091,1029,2023-05-15,922951,BATCH-1029-1
2092,1029,2023-06-30,1018365,BATCH-1029-2
2093,1029,2023-08-15,777950,BATCH-1029-3
2094,1030,2023-07-09,2652496,BATCH-1030-1
2095,1030,2023-09-20,2260280,BATCH-1030-2
2096,1030,2023-12-03,3097372,BATCH-1030-3
2097,1031,2023-06-02,10671715,BATCH-1031-1
2098,1031,2023-11-07,6837640,BATCH-1031-2
2099,1032,2023-02-13,1928767,BATCH-1032-1
2100,1032,2023-04-11,1645385,BATCH-1032-2
2101,1032,2023-06-08,1849963,BATCH-1032-3
2102,1033,2023-02-25,1929953,BATCH-1033-1
2103,1033,2023-03-12,1699800,BATCH-1033-2
2104,1033,2023-03-27,1748618,BATCH-1033-3
2105,1033,2023-04-11,1222980,BATCH-1033-4
2106,1033,2023-04-26,1306902,BATCH-1033-5
2107,1034,2023-03-24,3418681,BATCH-1034-1
2108,1034,2023-06-10,2219068,BATCH-1034-2
2109,1034,2023-08-28,3260692,BATCH-1034-3
2110,1035,2023-03-02,2509012,BATCH-1035-1
2111,1035,2023-04-29,2092876,BATCH-1035-2
2112,1035,2023-06-27,2357846,BATCH-1035-3
2113,1035,2023-08-25,2057751,BATCH-1035-4
2114,1036,2023-06-25,1664461,BATCH-1036-1
2115,1036,2023-09-16,2142159,BATCH-1036-2
2116,1036,2023-12-09,1433886,BATCH-1036-3
2117,1037,2023-06-28,5155283,BATCH-1037-1
2118,1037,2023-11-12,3433114,BATCH-1037-2
2119,1038,2023-02-24,1273182,BATCH-1038-1
2120,1038,2023-04-04,1551309,BATCH-1038-2
2121,1038,2023-05-13,1511748,BATCH-1038-3
2122,1038,2023-06-21,1083450,BATCH-1038-4
2123,1038,2023-07-31,1353544,BATCH-1038-5
2124,1039,2023-02-26,94917,BATCH-1039-1
2125,1039,2023-04-01,118778,BATCH-1039-2
2126,1039,2023-05-05,117053,BATCH-1039-3
2127,1039,2023-06-08,81522,BATCH-1039-4
2128,1039,2023-07-12,97324,BATCH-1039-5
2129,1040,2023-04-08,1864396,BATCH-1040-1
2130,1040,2023-04-23,1943087,BATCH-1040-2
2131,1040,2023-05-09,1519897,BATCH-1040-3
2132,1040,2023-05-24,1366628,BATCH-1040-4
2133,1040,2023-06-09,2003435,BATCH-1040-5
2134,1041,2023-04-18,3320683,BATCH-1041-1
2135,1041,2023-06-12,4709174,BATCH-1041-2
2136,1041,2023-08-06,3268002,BATCH-1041-3
2137,1041,2023-10-01,3326761,BATCH-1041-4
2138,1042,2023-04-04,847701,BATCH-1042-1
2139,1042,2023-04-20,1022519,BATCH-1042-2
2140,1042,2023-05-07,859924,BATCH-1042-3
2141,1042,2023-05-24,1066684,BATCH-1042-4
2142,1042,2023-06-10,609741,BATCH-1042-5
2143,1043,2023-06-10,547544,BATCH-1043-1
2144,1043,2023-07-15,690079,BATCH-1043-2
2145,1043,2023-08-19,467355,BATCH-1043-3
2146,1044,2023-05-20,523657,BATCH-1044-1
2147,1044,2023-08-06,470933,BATCH-1044-2
2148,1044,2023-10-24,666603,BATCH-1044-3
