vaccination_id,country_id,date_administered,age_group,doses_given,dose_number
3000,1,2023-01-01,0-17,58020,1
3001,1,2023-01-08,0-17,46416,2
3002,1,2023-01-01,18-45,44123,1
3003,1,2023-01-08,18-45,35299,2
3004,1,2023-01-01,46-65,44555,1
3005,1,2023-01-08,46-65,35644,2
3006,1,2023-01-01,65+,53010,1
3007,1,2023-01-08,65+,42408,2
3008,1,2023-01-08,0-17,96478,1
3009,1,2023-01-15,0-17,77182,2
3010,1,2023-01-08,18-45,167370,1
3011,1,2023-01-15,18-45,133896,2
3012,1,2023-01-08,46-65,48929,1
3013,1,2023-01-15,46-65,39143,2
3014,1,2023-01-08,65+,52720,1
3015,1,2023-01-15,65+,42176,2
3016,1,2023-01-15,0-17,71495,1
3017,1,2023-01-22,0-17,57196,2
3018,1,2023-01-15,18-45,121822,1
3019,1,2023-01-22,18-45,97457,2
3020,1,2023-01-15,46-65,36021,1
3021,1,2023-01-22,46-65,28816,2
3022,1,2023-01-15,65+,26961,1
3023,1,2023-01-22,65+,21569,2
3024,1,2023-01-22,0-17,62528,1
3025,1,2023-01-29,0-17,50023,2
3026,1,2023-01-22,18-45,47132,1
3027,1,2023-01-29,18-45,37705,2
3028,1,2023-01-22,46-65,43538,1
3029,1,2023-01-29,46-65,34830,2
3030,1,2023-01-22,65+,49384,1
3031,1,2023-01-29,65+,39507,2
3032,1,2023-01-29,0-17,59966,1
3033,1,2023-02-05,0-17,47973,2
3034,1,2023-01-29,18-45,64824,1
3035,1,2023-02-05,18-45,51859,2
3036,1,2023-01-29,46-65,52075,1
3037,1,2023-02-05,46-65,41660,2
3038,1,2023-01-29,65+,22484,1
3039,1,2023-02-05,65+,17987,2
3040,1,2023-02-05,0-17,77683,1
3041,1,2023-02-12,0-17,62147,2
3042,1,2023-02-05,18-45,46864,1
3043,1,2023-02-12,18-45,37491,2
3044,1,2023-02-05,46-65,47303,1
3045,1,2023-02-12,46-65,37842,2
3046,1,2023-02-05,65+,43787,1
3047,1,2023-02-12,65+,35030,2
3048,1,2023-02-12,0-17,29301,1
3049,1,2023-02-19,0-17,23441,2
3050,1,2023-02-12,18-45,126959,1
3051,1,2023-02-19,18-45,101567,2
3052,1,2023-02-12,46-65,30503,1
3053,1,2023-02-19,46-65,24402,2
3054,1,2023-02-12,65+,38778,1
3055,1,2023-02-19,65+,31023,2
3056,1,2023-02-19,0-17,31185,1
3057,1,2023-02-26,0-17,24948,2
3058,1,2023-02-19,18-45,92667,1
3059,1,2023-02-26,18-45,74133,2
3060,1,2023-02-19,46-65,35443,1
3061,1,2023-02-26,46-65,28355,2
3062,1,2023-02-19,65+,32201,1
3063,1,2023-02-26,65+,25760,2
3064,1,2023-02-26,0-17,88981,1
3065,1,2023-03-05,0-17,71185,2
3066,1,2023-02-26,18-45,92670,1
3067,1,2023-03-05,18-45,74136,2
3068,1,2023-02-26,46-65,70585,1
3069,1,2023-03-05,46-65,56468,2
3070,1,2023-02-26,65+,56837,1
3071,1,2023-03-05,65+,45469,2
3072,1,2023-03-05,0-17,47606,1
3073,1,2023-03-12,0-17,38084,2
3074,1,2023-03-05,18-45,54010,1
3075,1,2023-03-12,18-45,43208,2
3076,1,2023-03-05,46-65,22939,1
3077,1,2023-03-12,46-65,18351,2
3078,1,2023-03-05,65+,42569,1
3079,1,2023-03-12,65+,34055,2
3080,1,2023-03-12,0-17,108384,1
3081,1,2023-03-19,0-17,86707,2
3082,1,2023-03-12,18-45,88876,1
3083,1,2023-03-19,18-45,71101,2
3084,1,2023-03-12,46-65,63960,1
3085,1,2023-03-19,46-65,51168,2
3086,1,2023-03-12,65+,54364,1
3087,1,2023-03-19,65+,43491,2
3088,1,2023-03-19,0-17,80081,1
3089,1,2023-03-26,0-17,64065,2
3090,1,2023-03-19,18-45,141460,1
3091,1,2023-03-26,18-45,113168,2
3092,1,2023-03-19,46-65,83436,1
3093,1,2023-03-26,46-65,66749,2
3094,1,2023-03-19,65+,25982,1
3095,1,2023-03-26,65+,20786,2
3096,1,2023-03-26,0-17,28754,1
3097,1,2023-04-02,0-17,23003,2
3098,1,2023-03-26,18-45,63177,1
3099,1,2023-04-02,18-45,50541,2
3100,1,2023-03-26,46-65,29887,1
3101,1,2023-04-02,46-65,23909,2
3102,1,2023-03-26,65+,48912,1
3103,1,2023-04-02,65+,39130,2
3104,1,2023-04-02,0-17,72945,1
3105,1,2023-04-09,0-17,58356,2
3106,1,2023-04-02,18-45,71707,1
3107,1,2023-04-09,18-45,57366,2
3108,1,2023-04-02,46-65,67168,1
3109,1,2023-04-09,46-65,53734,2
3110,1,2023-04-02,65+,53665,1
3111,1,2023-04-09,65+,42932,2
3112,1,2023-04-09,0-17,40738,1
3113,1,2023-04-16,0-17,32590,2
3114,1,2023-04-09,18-45,122341,1
3115,1,2023-04-16,18-45,97873,2
3116,1,2023-04-09,46-65,70320,1
3117,1,2023-04-16,46-65,56256,2
3118,1,2023-04-09,65+,21845,1
3119,1,2023-04-16,65+,17476,2
3120,1,2023-04-16,0-17,93702,1
3121,1,2023-04-23,0-17,74961,2
3122,1,2023-04-16,18-45,168838,1
3123,1,2023-04-23,18-45,135070,2
3124,1,2023-04-16,46-65,28708,1
3125,1,2023-04-23,46-65,22966,2
3126,1,2023-04-16,65+,17511,1
3127,1,2023-04-23,65+,14009,2
3128,1,2023-04-23,0-17,52458,1
3129,1,2023-04-30,0-17,41966,2
3130,1,2023-04-23,18-45,131459,1
3131,1,2023-04-30,18-45,105167,2
3132,1,2023-04-23,46-65,83993,1
3133,1,2023-04-30,46-65,67194,2
3134,1,2023-04-23,65+,35606,1
3135,1,2023-04-30,65+,28484,2
3136,1,2023-04-30,0-17,85224,1
3137,1,2023-05-07,0-17,68179,2
3138,1,2023-04-30,18-45,53241,1
